Команда,Настоящее место,Медиана,Мода,Лучшее место,Худшее место
"2,5 человека",62,64,66,49,67
Brainstorm,50,45,46,22,60
Chgk online,54,48,49,32,56
Der Рефрижератор,58,60,64,51,67
DimTeam,30,19,14,2,44
El dorado,52,52,53,29,62
Gambler,10,9,10,2,22
Giper-Turbo,64,63,63,57,66
Jazz,47,46,49,24,65
Middle,24,30,29,13,51
Quantum,65,64,67,54,67
V for Vinishko,56,48,41,26,66
X-promt,42,27,25,8,48
Арагаст,19,17,18,6,33
Афина,18,11,15,1,32
Бедлам,28,35,42,14,55
Бонобо,69,69,69,68,69
Борский корабел,3,3,1,1,16
Братья,7,7,7,1,18
ВНИИА,61,51,41,33,63
Ва-банк,38,38,37,20,61
Веретено,36,35,34,21,50
Гвардия,12,15,15,1,42
Глеб Шишкин,21,23,21,7,47
Горский винодел,31,22,20,7,45
Жмурки,48,53,49,36,65
Зигзаг,35,15,16,4,42
Зненацька,16,23,27,9,43
Инк,32,28,30,11,47
Каспий,63,62,62,51,65
КиПЛ,41,59,61,37,66
Кипарис,34,41,45,25,62
Команда Алхазова,29,33,42,6,52
Команда Бората Сагдиева,66,66,67,61,69
Команда Губанова,2,3,1,1,10
Команда Гусейнова,40,55,54,36,65
Команда Игоря Пятова,13,22,22,8,46
Команда Касумова,20,19,16,2,45
Ксеп,3,3,1,1,15
Кузинатра,27,31,42,14,52
Кьяроскуро,46,36,44,20,58
Ливония,67,65,67,54,69
Механизм реакции,9,9,9,1,27
Минус один,8,16,12,4,29
Мираж,3,6,6,2,20
Монополия,68,68,68,65,69
Мы,60,48,41,21,65
Напряжены у всех на глазах,11,11,11,2,28
Норманны,44,35,43,13,59
Опять двойка,37,46,39,26,59
Пахлава глупости,59,46,40,27,63
Пахом Пихай,6,3,2,1,9
Пентиум,23,21,19,8,33
Перезагрузка,39,56,57,35,64
Полёт Навигатора,55,47,40,22,60
Понты Пилата,45,39,45,22,58
Приматы,22,27,27,11,47
Рабочее название,1,2,1,1,6
Резко континентальные,51,52,52,36,60
Ромашка,43,46,40,25,64
Сборная ВКЛ,53,56,59,36,67
Сборная МФЦА,14,19,14,7,42
Слон в удаве,33,33,32,13,51
Старая гвардия,49,56,41,36,67
Тёмный лес,26,31,26,18,47
Хронически разумные United,17,22,14,5,47
Эрликон,57,57,60,36,67
Эрудит,25,30,29,21,48
Эрудиты,15,12,10,2,34
